Date,Start_Hour,End_Hour,Production,Source,Day_of_Year,Day_Name,Month_Name,Season
6/30/2022,22,23,2181,Wind,181,Thursday,June,Summer
1/4/2020,5,6,3143,Wind,4,Saturday,January,Winter
4/23/2020,3,4,2541,Wind,114,Thursday,April,Spring
9/19/2021,9,10,4133,Wind,262,Sunday,September,Fall
2/1/2021,5,6,5020,Wind,32,Monday,February,Winter
7/8/2022,8,9,3748,Wind,189,Friday,July,Summer
7/8/2025,13,14,13125,Solar,189,Tuesday,July,Summer
7/7/2021,14,15,5096,Solar,188,Wednesday,July,Summer
1/22/2020,15,16,4074,Wind,22,Wednesday,January,Winter
6/28/2025,17,18,7681,Solar,179,Saturday,June,Summer
2/25/2021,3,4,4820,Wind,56,Thursday,February,Winter
5/22/2021,17,18,10961,Wind,142,Saturday,May,Spring
2/16/2022,5,6,14822,Wind,47,Wednesday,February,Winter
6/22/2023,4,5,3376,Wind,173,Thursday,June,Summer
6/18/2022,22,23,8199,Wind,169,Saturday,June,Summer
6/8/2022,15,16,10512,Wind,159,Wednesday,June,Summer
12/1/2022,3,4,3869,Wind,335,Thursday,December,Winter
4/17/2023,16,17,10404,Wind,107,Monday,April,Spring
12/9/2020,9,10,3334,Wind,344,Wednesday,December,Winter
2/7/2023,18,19,5042,Wind,38,Tuesday,February,Winter
9/28/2020,20,21,4228,Wind,272,Monday,September,Fall
2/12/2023,15,16,5718,Solar,43,Sunday,February,Winter
11/23/2023,2,3,2948,Wind,327,Thursday,November,Fall
12/12/2024,19,20,3528,Wind,347,Thursday,December,Winter
5/11/2025,1,2,7504,Wind,131,Sunday,May,Spring
5/30/2024,19,20,8561,Wind,151,Thursday,May,Spring
7/29/2024,16,17,8215,Solar,211,Monday,July,Summer
8/27/2024,23,0,3000,Wind,240,Tuesday,August,Summer
11/13/2021,9,10,5084,Wind,317,Saturday,November,Fall
9/20/2021,19,20,3112,Wind,263,Monday,September,Fall
2/13/2023,12,13,6722,Solar,44,Monday,February,Winter
11/14/2020,2,3,4362,Wind,319,Saturday,November,Fall
1/29/2025,0,1,18199,Wind,29,Wednesday,January,Winter
3/2/2022,4,5,2961,Wind,61,Wednesday,March,Spring
6/6/2025,16,17,7448,Wind,157,Friday,June,Summer
7/15/2025,2,3,3144,Wind,196,Tuesday,July,Summer
5/15/2022,15,16,9252,Solar,135,Sunday,May,Spring
6/6/2024,16,17,7935,Solar,158,Thursday,June,Summer
12/1/2020,6,7,7577,Wind,336,Tuesday,December,Winter
2/1/2020,20,21,10073,Wind,32,Saturday,February,Winter
12/5/2022,7,8,723,Wind,339,Monday,December,Winter
11/2/2021,17,18,1723,Wind,306,Tuesday,November,Fall
3/30/2024,15,16,7864,Solar,90,Saturday,March,Spring
5/7/2020,14,15,4403,Solar,128,Thursday,May,Spring
7/22/2024,4,5,3323,Wind,204,Monday,July,Summer
1/23/2022,23,0,3658,Wind,23,Sunday,January,Winter
4/16/2024,8,9,14410,Wind,107,Tuesday,April,Spring
2/2/2021,17,18,9228,Wind,33,Tuesday,February,Winter
4/6/2025,12,13,8484,Solar,96,Sunday,April,Spring
10/24/2025,20,21,12993,Wind,297,Friday,October,Fall
9/12/2024,19,20,4668,Wind,256,Thursday,September,Fall
6/1/2021,20,21,3220,Wind,152,Tuesday,June,Summer
6/10/2022,4,5,2337,Wind,161,Friday,June,Summer
5/12/2024,4,5,3727,Wind,133,Sunday,May,Spring
11/1/2025,1,2,13837,Wind,305,Saturday,November,Fall
5/29/2022,9,10,7338,Solar,149,Sunday,May,Spring
8/30/2023,18,19,7641,Wind,242,Wednesday,August,Summer
4/29/2023,20,21,2453,Wind,119,Saturday,April,Spring
5/22/2022,15,16,5188,Solar,142,Sunday,May,Spring
8/12/2022,12,13,8910,Solar,224,Friday,August,Summer
8/31/2020,13,14,4731,Solar,244,Monday,August,Summer
9/17/2020,1,2,5365,Wind,261,Thursday,September,Fall
5/13/2023,10,11,7155,Solar,133,Saturday,May,Spring
10/16/2021,15,16,4121,Solar,289,Saturday,October,Fall
1/4/2022,8,9,6398,Wind,4,Tuesday,January,Winter
11/10/2024,22,23,2532,Wind,315,Sunday,November,Fall
4/25/2022,21,22,2493,Wind,115,Monday,April,Spring
5/14/2021,11,12,7152,Wind,134,Friday,May,Spring
10/14/2020,8,9,3082,Wind,288,Wednesday,October,Fall
9/29/2021,13,14,11398,Wind,272,Wednesday,September,Fall
2/2/2020,2,3,6412,Wind,33,Sunday,February,Winter
7/10/2021,19,20,3038,Wind,191,Saturday,July,Summer
6/9/2022,0,1,6305,Wind,160,Thursday,June,Summer
12/4/2021,2,3,8913,Wind,338,Saturday,December,Winter
8/5/2020,4,5,1018,Wind,218,Wednesday,August,Summer
1/22/2020,16,17,3930,Wind,22,Wednesday,January,Winter
2/21/2024,0,1,3618,Wind,52,Wednesday,February,Winter
1/1/2021,12,13,1994,Solar,1,Friday,January,Winter
7/20/2021,22,23,3054,Wind,201,Tuesday,July,Summer
7/9/2025,11,12,9719,Solar,190,Wednesday,July,Summer
12/8/2024,6,7,16946,Wind,343,Sunday,December,Winter
10/21/2024,20,21,4621,Wind,295,Monday,October,Fall
7/3/2025,13,14,9835,Solar,184,Thursday,July,Summer
6/3/2022,8,9,3026,Wind,154,Friday,June,Summer
6/15/2022,13,14,6208,Solar,166,Wednesday,June,Summer
3/18/2022,5,6,8159,Wind,77,Friday,March,Spring
3/9/2021,8,9,2948,Wind,68,Tuesday,March,Spring
2/17/2022,19,20,8507,Wind,48,Thursday,February,Winter
11/11/2021,5,6,982,Wind,315,Thursday,November,Fall
6/6/2020,1,2,5766,Wind,158,Saturday,June,Summer
10/24/2020,8,9,8585,Wind,298,Saturday,October,Fall
9/18/2023,9,10,8347,Wind,261,Monday,September,Fall
11/24/2025,7,8,8309,Wind,328,Monday,November,Fall
9/9/2021,1,2,2685,Wind,252,Thursday,September,Fall
9/25/2025,18,19,3302,Wind,268,Thursday,September,Fall
5/12/2021,17,18,4435,Wind,132,Wednesday,May,Spring
6/2/2022,9,10,4378,Solar,153,Thursday,June,Summer
1/14/2025,15,16,4353,Solar,14,Tuesday,January,Winter
3/22/2023,14,15,15456,Wind,81,Wednesday,March,Spring
7/7/2024,19,20,4892,Wind,189,Sunday,July,Summer
1/28/2021,4,5,9675,Wind,28,Thursday,January,Winter
2/12/2025,1,2,2685,Wind,43,Wednesday,February,Winter
8/25/2021,14,15,9454,Solar,237,Wednesday,August,Summer
7/17/2023,6,7,2269,Wind,198,Monday,July,Summer
6/25/2025,13,14,9397,Solar,176,Wednesday,June,Summer
3/3/2021,9,10,1845,Wind,62,Wednesday,March,Spring
6/22/2021,14,15,6749,Wind,173,Tuesday,June,Summer
3/19/2025,13,14,13786,Solar,78,Wednesday,March,Spring
5/31/2020,19,20,5250,Wind,152,Sunday,May,Spring
2/21/2020,16,17,7148,Wind,52,Friday,February,Winter
6/4/2023,8,9,4706,Wind,155,Sunday,June,Summer
3/3/2025,18,19,2282,Wind,62,Monday,March,Spring
8/17/2025,12,13,11455,Solar,229,Sunday,August,Summer
1/3/2020,21,22,4570,Wind,3,Friday,January,Winter
5/19/2023,18,19,8236,Wind,139,Friday,May,Spring
4/3/2021,5,6,7508,Wind,93,Saturday,April,Spring
7/16/2025,12,13,16160,Solar,197,Wednesday,July,Summer
6/8/2024,5,6,2141,Wind,160,Saturday,June,Summer
9/29/2022,15,16,3999,Solar,272,Thursday,September,Fall
9/19/2024,8,9,8855,Wind,263,Thursday,September,Fall
5/23/2021,20,21,6519,Wind,143,Sunday,May,Spring
11/19/2024,2,3,16568,Wind,324,Tuesday,November,Fall
11/2/2025,12,13,17124,Wind,306,Sunday,November,Fall
3/6/2020,19,20,4409,Wind,66,Friday,March,Spring
9/24/2025,14,15,10617,Wind,267,Wednesday,September,Fall
3/6/2021,0,1,6907,Wind,65,Saturday,March,Spring
1/8/2024,1,2,11458,Wind,8,Monday,January,Winter
1/29/2024,9,10,8026,Wind,29,Monday,January,Winter
6/8/2024,21,22,2990,Wind,160,Saturday,June,Summer
9/5/2020,2,3,2313,Wind,249,Saturday,September,Fall
8/29/2023,16,17,6026,Solar,241,Tuesday,August,Summer
3/31/2023,21,22,17308,Wind,90,Friday,March,Spring
8/2/2021,12,13,4915,Solar,214,Monday,August,Summer
11/12/2021,19,20,4622,Wind,316,Friday,November,Fall
4/7/2024,13,14,6534,Wind,98,Sunday,April,Spring
8/23/2022,20,21,692,Wind,235,Tuesday,August,Summer
3/31/2025,12,13,12441,Solar,90,Monday,March,Spring
12/12/2024,23,0,3205,Wind,347,Thursday,December,Winter
10/30/2023,14,15,6382,Wind,303,Monday,October,Fall
7/13/2025,23,0,2819,Wind,194,Sunday,July,Summer
3/10/2020,16,17,12787,Wind,70,Tuesday,March,Spring
1/9/2021,3,4,2353,Wind,9,Saturday,January,Winter
4/2/2021,2,3,7071,Wind,92,Friday,April,Spring
11/24/2022,21,22,10233,Wind,328,Thursday,November,Fall
8/4/2025,4,5,2819,Wind,216,Monday,August,Summer
9/24/2021,10,11,3708,Solar,267,Friday,September,Fall
11/14/2020,14,15,9092,Wind,319,Saturday,November,Fall
2/12/2025,11,12,3734,Solar,43,Wednesday,February,Winter
11/18/2024,17,18,7419,Wind,323,Monday,November,Fall
8/25/2025,11,12,7160,Solar,237,Monday,August,Summer
11/11/2025,13,14,13901,Wind,315,Tuesday,November,Fall
9/15/2021,9,10,2675,Wind,258,Wednesday,September,Fall
8/21/2022,7,8,794,Wind,233,Sunday,August,Summer
11/14/2025,3,4,10916,Wind,318,Friday,November,Fall
4/30/2022,10,11,6810,Solar,120,Saturday,April,Spring
10/9/2022,3,4,4965,Wind,282,Sunday,October,Fall
4/26/2024,0,1,2294,Wind,117,Friday,April,Spring
3/12/2022,15,16,9696,Wind,71,Saturday,March,Spring
2/21/2023,12,13,4252,Solar,52,Tuesday,February,Winter
3/29/2023,11,12,8491,Solar,88,Wednesday,March,Spring
4/27/2021,22,23,2003,Wind,117,Tuesday,April,Spring
2/17/2020,4,5,6453,Wind,48,Monday,February,Winter
1/19/2024,23,0,3521,Wind,19,Friday,January,Winter
3/31/2025,7,8,5090,Wind,90,Monday,March,Spring
11/2/2021,12,13,6192,Wind,306,Tuesday,November,Fall
11/11/2022,7,8,3461,Wind,315,Friday,November,Fall
10/26/2021,12,13,5605,Solar,299,Tuesday,October,Fall
9/22/2022,19,20,399,Wind,265,Thursday,September,Fall
5/11/2025,13,14,4563,Solar,131,Sunday,May,Spring
1/28/2022,1,2,2439,Wind,28,Friday,January,Winter
11/20/2022,10,11,9228,Wind,324,Sunday,November,Fall
7/12/2022,1,2,4082,Wind,193,Tuesday,July,Summer
11/24/2024,12,13,22929,Wind,329,Sunday,November,Fall
2/1/2020,4,5,9131,Wind,32,Saturday,February,Winter
11/6/2024,5,6,189,Wind,311,Wednesday,November,Fall
10/28/2021,9,10,6796,Wind,301,Thursday,October,Fall
10/22/2020,12,13,5144,Wind,296,Thursday,October,Fall
3/10/2022,0,1,6808,Wind,69,Thursday,March,Spring
11/3/2021,5,6,3819,Wind,307,Wednesday,November,Fall
12/8/2024,2,3,16670,Wind,343,Sunday,December,Winter
6/3/2020,5,6,631,Wind,155,Wednesday,June,Summer
6/27/2020,11,12,9506,Wind,179,Saturday,June,Summer
6/4/2021,3,4,1527,Wind,155,Friday,June,Summer
11/17/2020,22,23,2667,Wind,322,Tuesday,November,Fall
10/21/2021,8,9,11321,Wind,294,Thursday,October,Fall
8/19/2021,23,0,940,Wind,231,Thursday,August,Summer
6/4/2020,23,0,2918,Wind,156,Thursday,June,Summer
8/14/2023,11,12,7955,Solar,226,Monday,August,Summer
5/13/2024,3,4,2321,Wind,134,Monday,May,Spring
8/11/2024,16,17,5870,Solar,224,Sunday,August,Summer
5/4/2021,7,8,13322,Wind,124,Tuesday,May,Spring
4/26/2025,11,12,4018,Solar,116,Saturday,April,Spring
1/21/2020,18,19,3303,Wind,21,Tuesday,January,Winter
11/2/2021,19,20,2311,Wind,306,Tuesday,November,Fall
7/29/2023,1,2,3618,Wind,210,Saturday,July,Summer
5/21/2023,8,9,4686,Wind,141,Sunday,May,Spring
2/7/2025,18,19,9119,Wind,38,Friday,February,Winter
7/25/2022,11,12,10186,Wind,206,Monday,July,Summer
10/16/2024,16,17,11196,Wind,290,Wednesday,October,Fall
1/11/2022,18,19,2621,Wind,11,Tuesday,January,Winter
4/19/2024,2,3,6475,Wind,110,Friday,April,Spring
7/28/2024,23,0,6281,Wind,210,Sunday,July,Summer
4/5/2025,18,19,8043,Wind,95,Saturday,April,Spring
1/4/2022,20,21,9372,Wind,4,Tuesday,January,Winter
7/6/2023,4,5,1028,Wind,187,Thursday,July,Summer
3/22/2024,23,0,7326,Wind,82,Friday,March,Spring
1/16/2024,9,10,2207,Wind,16,Tuesday,January,Winter
5/8/2024,20,21,3372,Wind,129,Wednesday,May,Spring
1/26/2025,19,20,19633,Wind,26,Sunday,January,Winter
7/20/2020,7,8,3155,Wind,202,Monday,July,Summer
3/2/2024,1,2,11147,Wind,62,Saturday,March,Spring
5/17/2021,13,14,15419,Wind,137,Monday,May,Spring
9/22/2024,4,5,3577,Wind,266,Sunday,September,Fall
7/18/2021,3,4,5140,Wind,199,Sunday,July,Summer
3/20/2020,15,16,7700,Wind,80,Friday,March,Spring
4/14/2025,23,0,5469,Wind,104,Monday,April,Spring
2/19/2020,7,8,7659,Wind,50,Wednesday,February,Winter
11/21/2021,4,5,556,Wind,325,Sunday,November,Fall
10/25/2023,10,11,10951,Wind,298,Wednesday,October,Fall
7/16/2023,19,20,5612,Wind,197,Sunday,July,Summer
7/22/2020,12,13,3790,Solar,204,Wednesday,July,Summer
3/8/2024,1,2,10506,Wind,68,Friday,March,Spring
12/10/2020,14,15,3341,Wind,345,Thursday,December,Winter
6/19/2022,8,9,7096,Wind,170,Sunday,June,Summer
10/23/2024,20,21,5480,Wind,297,Wednesday,October,Fall
6/11/2024,23,0,2863,Wind,163,Tuesday,June,Summer
9/9/2021,5,6,1689,Wind,252,Thursday,September,Fall
6/11/2020,15,16,5051,Wind,163,Thursday,June,Summer
6/7/2024,4,5,1976,Wind,159,Friday,June,Summer
3/26/2024,23,0,8226,Wind,86,Tuesday,March,Spring
2/9/2022,9,10,4407,Wind,40,Wednesday,February,Winter
2/15/2025,20,21,5334,Wind,46,Saturday,February,Winter
4/28/2021,6,7,857,Wind,118,Wednesday,April,Spring
8/27/2020,11,12,4553,Solar,240,Thursday,August,Summer
10/1/2024,7,8,6398,Wind,275,Tuesday,October,Fall
5/21/2021,0,1,9704,Wind,141,Friday,May,Spring
12/5/2021,22,23,4707,Wind,339,Sunday,December,Winter
8/1/2022,14,15,6729,Solar,213,Monday,August,Summer
9/18/2022,23,0,4648,Wind,261,Sunday,September,Fall
1/14/2025,4,5,2738,Wind,14,Tuesday,January,Winter
1/4/2025,9,10,4819,Wind,4,Saturday,January,Winter
8/23/2020,20,21,3074,Wind,236,Sunday,August,Summer
12/11/2022,11,12,4059,Solar,345,Sunday,December,Winter
7/5/2024,2,3,3591,Wind,187,Friday,July,Summer
7/12/2021,10,11,3055,Wind,193,Monday,July,Summer
12/4/2022,18,19,1267,Wind,338,Sunday,December,Winter
9/29/2023,15,16,10069,Wind,272,Friday,September,Fall
10/6/2024,10,11,7982,Wind,280,Sunday,October,Fall
2/27/2023,20,21,11622,Wind,58,Monday,February,Winter
6/6/2021,7,8,2047,Wind,157,Sunday,June,Summer
4/6/2022,17,18,13616,Wind,96,Wednesday,April,Spring
1/29/2025,14,15,13601,Wind,29,Wednesday,January,Winter
10/30/2024,21,22,3374,Wind,304,Wednesday,October,Fall
6/14/2024,18,19,11508,Wind,166,Friday,June,Summer
2/5/2024,19,20,7217,Wind,36,Monday,February,Winter
11/16/2020,2,3,9712,Wind,321,Monday,November,Fall
11/3/2025,12,13,14275,Wind,307,Monday,November,Fall
5/28/2023,22,23,9225,Wind,148,Sunday,May,Spring
1/24/2020,22,23,628,Wind,24,Friday,January,Winter
2/4/2022,5,6,6025,Wind,35,Friday,February,Winter
1/2/2020,18,19,5346,Wind,2,Thursday,January,Winter
8/30/2022,0,1,5425,Wind,242,Tuesday,August,Summer
11/29/2025,0,1,5241,Wind,333,Saturday,November,Fall
5/14/2025,10,11,7025,Solar,134,Wednesday,May,Spring
12/25/2024,2,3,1698,Wind,360,Wednesday,December,Winter
9/16/2024,11,12,8063,Solar,260,Monday,September,Fall
6/13/2020,2,3,3116,Wind,165,Saturday,June,Summer
5/26/2025,10,11,10578,Solar,146,Monday,May,Spring
1/29/2022,9,10,8062,Wind,29,Saturday,January,Winter
8/29/2021,7,8,3373,Wind,241,Sunday,August,Summer
8/17/2023,4,5,2138,Wind,229,Thursday,August,Summer
11/1/2021,16,17,6650,Wind,305,Monday,November,Fall
4/27/2025,13,14,4171,Solar,117,Sunday,April,Spring
3/25/2020,20,21,7278,Wind,85,Wednesday,March,Spring
11/13/2025,13,14,10055,Wind,317,Thursday,November,Fall
10/29/2022,9,10,8680,Wind,302,Saturday,October,Fall
5/12/2025,3,4,2071,Wind,132,Monday,May,Spring
12/26/2021,18,19,2979,Wind,360,Sunday,December,Winter
11/27/2022,5,6,6949,Wind,331,Sunday,November,Fall
6/10/2025,19,20,4337,Wind,161,Tuesday,June,Summer
1/14/2020,11,12,13956,Wind,14,Tuesday,January,Winter
4/19/2025,14,15,4692,Wind,109,Saturday,April,Spring
10/16/2022,4,5,3203,Wind,289,Sunday,October,Fall
11/8/2025,12,13,5483,Solar,312,Saturday,November,Fall
6/3/2023,0,1,7045,Wind,154,Saturday,June,Summer
12/21/2022,4,5,5289,Wind,355,Wednesday,December,Winter
8/15/2022,6,7,2354,Wind,227,Monday,August,Summer
6/14/2025,21,22,2617,Wind,165,Saturday,June,Summer
11/11/2021,19,20,904,Wind,315,Thursday,November,Fall
4/2/2024,19,20,9355,Wind,93,Tuesday,April,Spring
12/3/2024,0,1,6322,Wind,338,Tuesday,December,Winter
8/18/2021,10,11,4153,Solar,230,Wednesday,August,Summer
2/18/2022,0,1,6361,Wind,49,Friday,February,Winter
6/15/2020,9,10,3227,Solar,167,Monday,June,Summer
6/6/2020,3,4,5774,Wind,158,Saturday,June,Summer
10/31/2022,6,7,3071,Wind,304,Monday,October,Fall
8/2/2023,18,19,18182,Wind,214,Wednesday,August,Summer
6/8/2023,6,7,4578,Wind,159,Thursday,June,Summer
4/21/2024,15,16,10808,Wind,112,Sunday,April,Spring
11/2/2025,9,10,11230,Wind,306,Sunday,November,Fall
1/11/2023,22,23,15390,Wind,11,Wednesday,January,Winter
3/19/2020,11,12,3951,Solar,79,Thursday,March,Spring
8/17/2025,8,9,6183,Wind,229,Sunday,August,Summer
8/7/2020,6,7,2021,Wind,220,Friday,August,Summer
11/22/2025,9,10,8243,Wind,326,Saturday,November,Fall
9/4/2025,5,6,6876,Wind,247,Thursday,September,Fall
7/22/2020,10,11,2606,Solar,204,Wednesday,July,Summer
4/26/2021,3,4,9366,Wind,116,Monday,April,Spring
8/19/2021,4,5,1485,Wind,231,Thursday,August,Summer
10/25/2022,14,15,5213,Solar,298,Tuesday,October,Fall
4/6/2020,9,10,6188,Wind,97,Monday,April,Spring
7/8/2023,15,16,8194,Solar,189,Saturday,July,Summer
5/10/2020,10,11,2276,Wind,131,Sunday,May,Spring
1/17/2020,1,2,9434,Wind,17,Friday,January,Winter
1/10/2024,9,10,2524,Wind,10,Wednesday,January,Winter
3/29/2022,14,15,4278,Solar,88,Tuesday,March,Spring
12/7/2022,14,15,3789,Solar,341,Wednesday,December,Winter
6/6/2024,1,2,1268,Wind,158,Thursday,June,Summer
1/30/2020,6,7,6684,Wind,30,Thursday,January,Winter
8/18/2020,9,10,1797,Solar,231,Tuesday,August,Summer
12/12/2024,7,8,3380,Wind,347,Thursday,December,Winter
4/4/2022,23,0,8520,Wind,94,Monday,April,Spring
10/13/2025,4,5,6073,Wind,286,Monday,October,Fall
6/18/2024,4,5,2793,Wind,170,Tuesday,June,Summer
5/10/2022,6,7,2478,Wind,130,Tuesday,May,Spring
4/26/2023,15,16,4624,Solar,116,Wednesday,April,Spring
6/16/2021,2,3,1499,Wind,167,Wednesday,June,Summer
9/3/2021,6,7,2094,Wind,246,Friday,September,Fall
4/7/2025,3,4,6184,Wind,97,Monday,April,Spring
7/21/2020,8,9,3014,Wind,203,Tuesday,July,Summer
5/12/2022,10,11,4025,Solar,132,Thursday,May,Spring
12/22/2022,11,12,13135,Wind,356,Thursday,December,Winter
10/8/2024,22,23,13096,Wind,282,Tuesday,October,Fall
6/13/2021,5,6,2592,Wind,164,Sunday,June,Summer
3/9/2021,22,23,2083,Wind,68,Tuesday,March,Spring
1/3/2022,17,18,8634,Wind,3,Monday,January,Winter
2/15/2025,21,22,5507,Wind,46,Saturday,February,Winter
12/3/2021,13,14,13277,Wind,337,Friday,December,Winter
5/7/2021,8,9,3061,Wind,127,Friday,May,Spring
6/27/2025,2,3,3511,Wind,178,Friday,June,Summer
2/1/2020,11,12,11252,Wind,32,Saturday,February,Winter
7/1/2020,20,21,4054,Wind,183,Wednesday,July,Summer
5/1/2023,20,21,3856,Wind,121,Monday,May,Spring
7/8/2025,18,19,8997,Solar,189,Tuesday,July,Summer
2/18/2021,20,21,6214,Wind,49,Thursday,February,Winter
11/28/2022,13,14,5047,Wind,332,Monday,November,Fall
7/1/2021,17,18,3901,Solar,182,Thursday,July,Summer
11/15/2023,20,21,4554,Wind,319,Wednesday,November,Fall
1/14/2021,10,11,8411,Wind,14,Thursday,January,Winter
5/27/2020,11,12,5832,Solar,148,Wednesday,May,Spring
4/16/2020,21,22,1491,Wind,107,Thursday,April,Spring
6/29/2020,16,17,10010,Wind,181,Monday,June,Summer
4/2/2024,6,7,13175,Wind,93,Tuesday,April,Spring
5/8/2022,1,2,4285,Wind,128,Sunday,May,Spring
12/29/2023,15,16,13922,Wind,363,Friday,December,Winter
3/15/2024,3,4,10445,Wind,75,Friday,March,Spring
6/7/2021,6,7,1268,Wind,158,Monday,June,Summer
3/31/2020,17,18,10262,Wind,91,Tuesday,March,Spring
9/13/2021,1,2,2586,Wind,256,Monday,September,Fall
1/16/2023,14,15,16385,Wind,16,Monday,January,Winter
2/1/2021,20,21,3405,Wind,32,Monday,February,Winter
9/13/2022,5,6,1654,Wind,256,Tuesday,September,Fall
7/29/2023,15,16,11966,Wind,210,Saturday,July,Summer
8/9/2020,16,17,3364,Solar,222,Sunday,August,Summer
9/23/2021,1,2,1404,Wind,266,Thursday,September,Fall
3/18/2021,9,10,4597,Wind,77,Thursday,March,Spring
1/13/2024,0,1,2503,Wind,13,Saturday,January,Winter
6/27/2023,6,7,2239,Wind,178,Tuesday,June,Summer
12/15/2023,0,1,2968,Wind,349,Friday,December,Winter
6/12/2023,19,20,3168,Wind,163,Monday,June,Summer
12/14/2020,6,7,8437,Wind,349,Monday,December,Winter
5/4/2023,13,14,11275,Solar,124,Thursday,May,Spring
1/6/2022,11,12,5010,Solar,6,Thursday,January,Winter
5/5/2023,6,7,2188,Wind,125,Friday,May,Spring
3/24/2021,19,20,2191,Wind,83,Wednesday,March,Spring
11/6/2020,5,6,6584,Wind,311,Friday,November,Fall
10/13/2025,0,1,7395,Wind,286,Monday,October,Fall
4/9/2025,22,23,11401,Wind,99,Wednesday,April,Spring
